sampleId,country,city,collectionDate,lat,long,season,locality,type,continent,set,nFlies,SRA_accession,SRA_experiment,SeqPlatform,collector,sampleType,year,yday,stationId,dist_km
VA_ch_16_m06d24,USA,Charlottesville,6/24/16,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,37,NA,NA,illumina novaseq,A._Bangerter,Wild,2016,174,USW00003759,0.475773345
VA_ch_16_m07d08,USA,Charlottesville,7/8/16,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,36,NA,NA,illumina novaseq,A._Bangerter,Wild,2016,188,USW00003759,0.475773345
VA_ch_16_m07d22,USA,Charlottesville,7/22/16,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,22,NA,NA,illumina novaseq,A._Bangerter,Wild,2016,202,USW00003759,0.475773345
VA_ch_16_m08d19,USA,Charlottesville,8/19/16,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,23,NA,NA,illumina novaseq,A._Bangerter,Wild,2016,230,USW00003759,0.475773345
VA_ch_16_m09d02,USA,Charlottesville,9/2/16,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,146,NA,NA,illumina novaseq,A._Bangerter,Wild,2016,244,USW00003759,0.475773345
VA_ch_16_m09d16,USA,Charlottesville,9/16/16,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,113,NA,NA,illumina novaseq,A._Bangerter,Wild,2016,258,USW00003759,0.475773345
VA_ch_16_m10d03,USA,Charlottesville,10/3/16,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,40,NA,NA,illumina novaseq,A._Bangerter,Wild,2016,275,USW00003759,0.475773345
VA_ch_16_m10d14,USA,Charlottesville,10/14/16,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,150,NA,NA,illumina novaseq,A._Bangerter,Wild,2016,286,USW00003759,0.475773345
VA_ch_16_m10d28,USA,Charlottesville,10/28/16,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,118,NA,NA,illumina novaseq,A._Bangerter,Wild,2016,300,USW00003759,0.475773345
VA_ch_16_m11d11,USA,Charlottesville,11/11/16,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,86,NA,NA,illumina novaseq,A._Bangerter,Wild,2016,314,USW00003759,0.475773345
VA_ch_16_m12d03,USA,Charlottesville,12/3/16,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,70,NA,NA,illumina novaseq,A._Bangerter,Wild,2016,336,USW00003759,0.475773345
VA_ch_17_m06d22,USA,Charlottesville,6/22/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,39,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,172,USW00003759,0.475773345
VA_ch_17_m07d07,USA,Charlottesville,7/7/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,45,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,187,USW00003759,0.475773345
VA_ch_17_m07d20,USA,Charlottesville,7/20/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,69,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,200,USW00003759,0.475773345
VA_ch_17_m08d03,USA,Charlottesville,8/3/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,29,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,214,USW00003759,0.475773345
VA_ch_17_m08d17,USA,Charlottesville,8/17/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,32,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,228,USW00003759,0.475773345
VA_ch_17_m08d31,USA,Charlottesville,8/31/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,87,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,242,USW00003759,0.475773345
VA_ch_17_m09d14,USA,Charlottesville,9/14/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,92,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,256,USW00003759,0.475773345
VA_ch_17_m09d28,USA,Charlottesville,9/28/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,136,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,270,USW00003759,0.475773345
VA_ch_17_m10d12,USA,Charlottesville,10/12/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,107,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,284,USW00003759,0.475773345
VA_ch_17_m10d26,USA,Charlottesville,10/26/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,120,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,298,USW00003759,0.475773345
VA_ch_17_m11d09,USA,Charlottesville,11/9/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,122,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,312,USW00003759,0.475773345
VA_ch_17_m11d24,USA,Charlottesville,11/24/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,21,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,327,USW00003759,0.475773345
VA_ch_17_m12d07,USA,Charlottesville,12/7/17,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,24,NA,NA,illumina novaseq,A._Bangerter,Wild,2017,340,USW00003759,0.475773345
VA_ch_18_m06d28,USA,Charlottesville,6/28/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,10,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,178,USW00003759,0.475773345
VA_ch_18_m07d05,USA,Charlottesville,7/5/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,26,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,185,USW00003759,0.475773345
VA_ch_18_m07d12,USA,Charlottesville,7/12/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,58,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,192,USW00003759,0.475773345
VA_ch_18_m07d26,USA,Charlottesville,7/26/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,70,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,206,USW00003759,0.475773345
VA_ch_18_m08d09,USA,Charlottesville,8/9/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,84,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,220,USW00003759,0.475773345
VA_ch_18_m08d23,USA,Charlottesville,8/23/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,69,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,234,USW00003759,0.475773345
VA_ch_18_m09d06,USA,Charlottesville,9/6/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,60,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,248,USW00003759,0.475773345
VA_ch_18_m09d20,USA,Charlottesville,9/20/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,77,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,262,USW00003759,0.475773345
VA_ch_18_m10d04,USA,Charlottesville,10/4/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,108,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,276,USW00003759,0.475773345
VA_ch_18_m10d18,USA,Charlottesville,10/18/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,136,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,290,USW00003759,0.475773345
VA_ch_18_m10d25,USA,Charlottesville,10/25/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,122,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,297,USW00003759,0.475773345
VA_ch_18_m11d01,USA,Charlottesville,11/1/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,103,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,304,USW00003759,0.475773345
VA_ch_18_m11d29,USA,Charlottesville,11/29/18,38,-78.47,NA,VA_ch,pooled,NorthAmerica,CvilleSet,16,NA,NA,illumina novaseq,A._Bangerter,Wild,2018,332,USW00003759,0.475773345
AT_Mau_14_01,Austria,Mauternbach,7/20/14,48.375,15.56,spring,AT_Mau,pooled,Europe,DrosEU,40,SRR5647751,SRX2885357,NextSeq 500,Andrea_J._Betancourt,wild,2014,201,AUM00011389,21.76491746
AT_Mau_14_02,Austria,Mauternbach,10/19/14,48.375,15.56,fall,AT_Mau,pooled,Europe,DrosEU,40,SRR5647750,SRX2885358,NextSeq 500,Andrea_J.Betancourt,wild,2014,292,AUM00011389,21.76491746
AT_Mau_15_50,Austria,Mauternbach,7/20/15,48.375,15.56,spring,AT_Mau,pooled,Europe,DrosEU,40,SRR8439127,SRX5246581,HiSeq X Ten,Andrea_Betancourt,wild,2015,201,AUM00011389,21.76491746
